id;flow_name;flow_group;owner_name;superviser_name;department;jhi_describe;status;flow_start_date;flow_end_date
1;fussy incidentally blaring;circa;overdue schedule than;sharply talkative;wire till nectarine;throughout;skyscraper truthfully;2026-03-28T04:55:12;2026-03-28T09:26:56
2;since;yowza;long destock;flight;excepting;if pfft;how versus embody;2026-03-28T15:23:12;2026-03-28T20:53:55
3;against whimsical;valuable till before;cake phew unfortunately;whenever welcome;as approach;wilderness;unless ugh;2026-03-28T03:20:46;2026-03-28T03:57:22
4;who;sermon;certify;atop;adventurously considering tapioca;timely geez;resort;2026-03-28T12:18:27;2026-03-28T15:03:24
5;elegantly;tusk debit;traduce except abaft;definitive to;brr;viability;extremely broadly;2026-03-28T18:36:15;2026-03-28T14:02:52
6;about sans elver;against apricot;dock but;geez near;cheerful;soon;surprisingly meaty up;2026-03-28T05:00:29;2026-03-28T11:40:32
7;wonderfully;underplay linseed annual;successfully;yum yuck righteously;or;uproot when;scoff phooey whoever;2026-03-28T04:22:19;2026-03-28T10:44:33
8;shocked;blah;mixed scheme reborn;even whereas;hence like;convince pick;glorious down;2026-03-28T04:04:25;2026-03-28T03:23:40
9;following self-assured;tectonics down;outfox mould monocle;when;ugh accept;splay with boo;beyond wearily anenst;2026-03-28T16:20:55;2026-03-28T04:59:44
10;though;quicker an ha;bob thread hydrolyse;fun;jacket unsteady;impostor glass sans;because;2026-03-28T08:00:09;2026-03-28T11:09:14
